ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source
olde1238-comp-67,olde1238,comp,no,comp-no,,
olde1238-genre-67,olde1238,genre,written,genre-written,,
olde1238-ncases-68,olde1238,ncases,0,ncases-0,,
olde1238-nclass-68,olde1238,nclass,0,nclass-0,,
olde1238-nnumber-68,olde1238,nnumber,0,nnumber-0,,
olde1238-int-68,olde1238,int,no,int-no,,
olde1238-origin-68,olde1238,origin,TO,origin-to,,
olde1238-comp-68,olde1238,comp,yes,comp-yes,,
olde1238-genre-68,olde1238,genre,written,genre-written,,
midd1317-ncases-69,midd1317,ncases,0,ncases-0,,
midd1317-nclass-69,midd1317,nclass,0,nclass-0,,
midd1317-nnumber-69,midd1317,nnumber,0,nnumber-0,,
midd1317-int-69,midd1317,int,yes,int-yes,,
midd1317-origin-69,midd1317,origin,KW+TO,origin-kwto,,
midd1317-comp-69,midd1317,comp,no,comp-no,,
midd1317-genre-69,midd1317,genre,written,genre-written,,
midd1317-ncases-70,midd1317,ncases,0,ncases-0,,
midd1317-nclass-70,midd1317,nclass,0,nclass-0,,
midd1317-nnumber-70,midd1317,nnumber,0,nnumber-0,,
midd1317-int-70,midd1317,int,no,int-no,,
midd1317-origin-70,midd1317,origin,TO,origin-to,,
midd1317-comp-70,midd1317,comp,yes,comp-yes,,
midd1317-genre-70,midd1317,genre,written,genre-written,,
stan1293-ncases-71,stan1293,ncases,0,ncases-0,,
stan1293-nclass-71,stan1293,nclass,0,nclass-0,,
stan1293-nnumber-71,stan1293,nnumber,0,nnumber-0,,
stan1293-int-71,stan1293,int,no,int-no,,
stan1293-origin-71,stan1293,origin,TO,origin-to,,
stan1293-comp-71,stan1293,comp,yes,comp-yes,,
stan1293-genre-71,stan1293,genre,both,genre-both,,
stan1293-ncases-72,stan1293,ncases,0,ncases-0,,
stan1293-nclass-72,stan1293,nclass,2,nclass-2,,
stan1293-nnumber-72,stan1293,nnumber,0,nnumber-0,,
stan1293-int-72,stan1293,int,yes,int-yes,,
stan1293-origin-72,stan1293,origin,KW,origin-kw,,
stan1293-comp-72,stan1293,comp,no,comp-no,,
stan1293-genre-72,stan1293,genre,both,genre-both,,
oldf1241-ncases-73,oldf1241,ncases,4,ncases-4,,
oldf1241-nclass-73,oldf1241,nclass,3,nclass-3,,
oldf1241-nnumber-73,oldf1241,nnumber,2,nnumber-2,,
oldf1241-int-73,oldf1241,int,no,int-no,,
oldf1241-origin-73,oldf1241,origin,TO,origin-to,,
oldf1241-comp-73,oldf1241,comp,yes,comp-yes,,
oldf1241-genre-73,oldf1241,genre,written,genre-written,,
oldf1241-ncases-74,oldf1241,ncases,0,ncases-0,,
oldf1241-nclass-74,oldf1241,nclass,0,nclass-0,,
oldf1241-nnumber-74,oldf1241,nnumber,0,nnumber-0,,
oldf1241-int-74,oldf1241,int,no,int-no,,
oldf1241-origin-74,oldf1241,origin,TO,origin-to,,
oldf1241-comp-74,oldf1241,comp,yes,comp-yes,,
oldf1241-genre-74,oldf1241,genre,written,genre-written,,
east2288-ncases-75,east2288,ncases,0,ncases-0,,
east2288-nclass-75,east2288,nclass,0,nclass-0,,
east2288-nnumber-75,east2288,nnumber,0,nnumber-0,,
east2288-int-75,east2288,int,no,int-no,,
east2288-origin-75,east2288,origin,TO,origin-to,,
east2288-comp-75,east2288,comp,no,comp-no,,
east2288-genre-75,east2288,genre,spoken,genre-spoken,,
nort2626-ncases-76,nort2626,ncases,0,ncases-0,,
nort2626-nclass-76,nort2626,nclass,0,nclass-0,,
nort2626-nnumber-76,nort2626,nnumber,0,nnumber-0,,
nort2626-int-76,nort2626,int,no,int-no,,
nort2626-origin-76,nort2626,origin,TO,origin-to,,
nort2626-comp-76,nort2626,comp,no,comp-no,,
nort2626-genre-76,nort2626,genre,spoken,genre-spoken,,
nort2626-ncases-77,nort2626,ncases,0,ncases-0,,
nort2626-nclass-77,nort2626,nclass,0,nclass-0,,
nort2626-nnumber-77,nort2626,nnumber,0,nnumber-0,,
nort2626-int-77,nort2626,int,yes,int-yes,,
nort2626-origin-77,nort2626,origin,KW,origin-kw,,
nort2626-comp-77,nort2626,comp,no,comp-no,,
nort2626-genre-77,nort2626,genre,spoken,genre-spoken,,
nort2626-ncases-78,nort2626,ncases,0,ncases-0,,
nort2626-nclass-78,nort2626,nclass,0,nclass-0,,
nort2626-nnumber-78,nort2626,nnumber,0,nnumber-0,,
nort2626-int-78,nort2626,int,yes,int-yes,,
nort2626-origin-78,nort2626,origin,KW,origin-kw,,
nort2626-comp-78,nort2626,comp,no,comp-no,,
nort2626-genre-78,nort2626,genre,spoken,genre-spoken,,
nort2626-ncases-79,nort2626,ncases,0,ncases-0,,
nort2626-nclass-79,nort2626,nclass,0,nclass-0,,
nort2626-nnumber-79,nort2626,nnumber,0,nnumber-0,,
nort2626-int-79,nort2626,int,no,int-no,,
nort2626-origin-79,nort2626,origin,NA,origin-na,,
nort2626-comp-79,nort2626,comp,no,comp-no,,
nort2626-genre-79,nort2626,genre,spoken,genre-spoken,,
anci1242-ncases-80,anci1242,ncases,4,ncases-4,,
anci1242-nclass-80,anci1242,nclass,3,nclass-3,,
anci1242-nnumber-80,anci1242,nnumber,2,nnumber-2,,
anci1242-int-80,anci1242,int,no,int-no,,
anci1242-origin-80,anci1242,origin,TO,origin-to,,
anci1242-comp-80,anci1242,comp,no,comp-no,,
anci1242-genre-80,anci1242,genre,written,genre-written,,
mode1248-ncases-84,mode1248,ncases,0,ncases-0,,
mode1248-nclass-84,mode1248,nclass,0,nclass-0,,
mode1248-nnumber-84,mode1248,nnumber,0,nnumber-0,,
mode1248-int-84,mode1248,int,yes,int-yes,,
mode1248-origin-84,mode1248,origin,KW,origin-kw,,
mode1248-comp-84,mode1248,comp,yes,comp-yes,,
mode1248-genre-84,mode1248,genre,both,genre-both,,
mode1248-ncases-85,mode1248,ncases,3,ncases-3,,
mode1248-nclass-85,mode1248,nclass,3,nclass-3,,
mode1248-nnumber-85,mode1248,nnumber,2,nnumber-2,,
mode1248-int-85,mode1248,int,related,int-related,,
mode1248-origin-85,mode1248,origin,TO+KW,origin-tokw,,
mode1248-comp-85,mode1248,comp,yes,comp-yes,,
mode1248-genre-85,mode1248,genre,written,genre-written,,
sans1269-ncases-86,sans1269,ncases,7,ncases-7,,
sans1269-nclass-86,sans1269,nclass,3,nclass-3,,
sans1269-nnumber-86,sans1269,nnumber,3,nnumber-3,,
sans1269-int-86,sans1269,int,no,int-no,,
sans1269-origin-86,sans1269,origin,YO,origin-yo,,
sans1269-comp-86,sans1269,comp,no,comp-no,,
sans1269-genre-86,sans1269,genre,written,genre-written,,
pali1273-ncases-87,pali1273,ncases,6,ncases-6,,
pali1273-nclass-87,pali1273,nclass,3,nclass-3,,
pali1273-nnumber-87,pali1273,nnumber,2,nnumber-2,,
pali1273-int-87,pali1273,int,no,int-no,,
pali1273-origin-87,pali1273,origin,YO,origin-yo,,
pali1273-comp-87,pali1273,comp,NA,comp-na,,
pali1273-genre-87,pali1273,genre,written,genre-written,,
mait1250-ncases-88,mait1250,ncases,5,ncases-5,,
mait1250-nclass-88,mait1250,nclass,3,nclass-3,,
mait1250-nnumber-88,mait1250,nnumber,2,nnumber-2,,
mait1250-int-88,mait1250,int,no,int-no,,
mait1250-origin-88,mait1250,origin,YO,origin-yo,,
mait1250-comp-88,mait1250,comp,yes,comp-yes,,
mait1250-genre-88,mait1250,genre,spoken,genre-spoken,,
doma1258-ncases-89,doma1258,ncases,0,ncases-0,,
doma1258-nclass-89,doma1258,nclass,0,nclass-0,,
doma1258-nnumber-89,doma1258,nnumber,0,nnumber-0,,
doma1258-int-89,doma1258,int,no,int-no,,
doma1258-origin-89,doma1258,origin,L,origin-l,,
doma1258-comp-89,doma1258,comp,no,comp-no,,
doma1258-genre-89,doma1258,genre,spoken,genre-spoken,,
hind1269-ncases-90,hind1269,ncases,3,ncases-3,,
hind1269-nclass-90,hind1269,nclass,0,nclass-0,,
hind1269-nnumber-90,hind1269,nnumber,2,nnumber-2,,
hind1269-int-90,hind1269,int,no,int-no,,
hind1269-origin-90,hind1269,origin,YO,origin-yo,,
hind1269-comp-90,hind1269,comp,no,comp-no,,
hind1269-genre-90,hind1269,genre,spoken,genre-spoken,,
vlax1238-ncases-91,vlax1238,ncases,0,ncases-0,,
vlax1238-nclass-91,vlax1238,nclass,0,nclass-0,,
vlax1238-nnumber-91,vlax1238,nnumber,0,nnumber-0,,
vlax1238-int-91,vlax1238,int,yes,int-yes,,
vlax1238-origin-91,vlax1238,origin,KW,origin-kw,,
vlax1238-comp-91,vlax1238,comp,yes,comp-yes,,
vlax1238-genre-91,vlax1238,genre,spoken,genre-spoken,,
midd1350-ncases-92,midd1350,ncases,7,ncases-7,,
midd1350-nclass-92,midd1350,nclass,2,nclass-2,,
midd1350-nnumber-92,midd1350,nnumber,2,nnumber-2,,
midd1350-int-92,midd1350,int,no,int-no,,
midd1350-origin-92,midd1350,origin,YO,origin-yo,,
midd1350-comp-92,midd1350,comp,NA,comp-na,,
midd1350-genre-92,midd1350,genre,written,genre-written,,
sinh1246-ncases-93,sinh1246,ncases,0,ncases-0,,
sinh1246-nclass-93,sinh1246,nclass,0,nclass-0,,
sinh1246-nnumber-93,sinh1246,nnumber,0,nnumber-0,,
sinh1246-int-93,sinh1246,int,no,int-no,,
sinh1246-origin-93,sinh1246,origin,NA,origin-na,,
sinh1246-comp-93,sinh1246,comp,yes,comp-yes,,
sinh1246-genre-93,sinh1246,genre,spoken,genre-spoken,,
beng1280-ncases-94,beng1280,ncases,3,ncases-3,,
beng1280-nclass-94,beng1280,nclass,2,nclass-2,,
beng1280-nnumber-94,beng1280,nnumber,2,nnumber-2,,
beng1280-int-94,beng1280,int,no,int-no,,
beng1280-origin-94,beng1280,origin,YO,origin-yo,,
beng1280-comp-94,beng1280,comp,yes,comp-yes,,
beng1280-genre-94,beng1280,genre,spoken,genre-spoken,,
oriy1255-ncases-95,oriy1255,ncases,5,ncases-5,,
oriy1255-nclass-95,oriy1255,nclass,2,nclass-2,,
oriy1255-nnumber-95,oriy1255,nnumber,2,nnumber-2,,
oriy1255-int-95,oriy1255,int,no,int-no,,
oriy1255-origin-95,oriy1255,origin,YO,origin-yo,,
oriy1255-comp-95,oriy1255,comp,yes,comp-yes,,
oriy1255-genre-95,oriy1255,genre,spoken,genre-spoken,,
nepa1254-ncases-96,nepa1254,ncases,2,ncases-2,,
nepa1254-nclass-96,nepa1254,nclass,2,nclass-2,,
nepa1254-nnumber-96,nepa1254,nnumber,2,nnumber-2,,
nepa1254-int-96,nepa1254,int,no,int-no,,
nepa1254-origin-96,nepa1254,origin,YO,origin-yo,,
nepa1254-comp-96,nepa1254,comp,NA,comp-na,,
nepa1254-genre-96,nepa1254,genre,written,genre-written,,
dame1241-ncases-97,dame1241,ncases,0,ncases-0,,
dame1241-nclass-97,dame1241,nclass,0,nclass-0,,
dame1241-nnumber-97,dame1241,nnumber,0,nnumber-0,,
dame1241-int-97,dame1241,int,yes,int-yes,,
dame1241-origin-97,dame1241,origin,KW,origin-kw,,
dame1241-comp-97,dame1241,comp,no,comp-no,,
dame1241-genre-97,dame1241,genre,spoken,genre-spoken,,
sind1272-ncases-98,sind1272,ncases,2,ncases-2,,
sind1272-nclass-98,sind1272,nclass,2,nclass-2,,
sind1272-nnumber-98,sind1272,nnumber,2,nnumber-2,,
sind1272-int-98,sind1272,int,no,int-no,,
sind1272-origin-98,sind1272,origin,YO,origin-yo,,
sind1272-comp-98,sind1272,comp,NA,comp-na,,
sind1272-genre-98,sind1272,genre,spoken,genre-spoken,,
kash1277-ncases-99,kash1277,ncases,4,ncases-4,,
kash1277-nclass-99,kash1277,nclass,3,nclass-3,,
kash1277-nnumber-99,kash1277,nnumber,2,nnumber-2,,
kash1277-int-99,kash1277,int,no,int-no,,
kash1277-origin-99,kash1277,origin,YO,origin-yo,,
kash1277-comp-99,kash1277,comp,no,comp-no,,
kash1277-genre-99,kash1277,genre,spoken,genre-spoken,,
oldm1244-ncases-100,oldm1244,ncases,4,ncases-4,,
oldm1244-nclass-100,oldm1244,nclass,3,nclass-3,,
oldm1244-nnumber-100,oldm1244,nnumber,2,nnumber-2,,
oldm1244-int-100,oldm1244,int,no,int-no,,
oldm1244-origin-100,oldm1244,origin,YO,origin-yo,,
oldm1244-comp-100,oldm1244,comp,NA,comp-na,,
oldm1244-genre-100,oldm1244,genre,written,genre-written,,
mara1378-ncases-101,mara1378,ncases,2,ncases-2,,
mara1378-nclass-101,mara1378,nclass,3,nclass-3,,
mara1378-nnumber-101,mara1378,nnumber,2,nnumber-2,,
mara1378-int-101,mara1378,int,no,int-no,,
mara1378-origin-101,mara1378,origin,YO,origin-yo,,
mara1378-comp-101,mara1378,comp,no,comp-no,,
mara1378-genre-101,mara1378,genre,spoken,genre-spoken,,
goan1235-ncases-102,goan1235,ncases,NA,ncases-na,,
goan1235-nclass-102,goan1235,nclass,NA,nclass-na,,
goan1235-nnumber-102,goan1235,nnumber,NA,nnumber-na,,
goan1235-int-102,goan1235,int,no,int-no,,
goan1235-origin-102,goan1235,origin,YO,origin-yo,,
goan1235-comp-102,goan1235,comp,no,comp-no,,
goan1235-genre-102,goan1235,genre,spoken,genre-spoken,,
goan1235-ncases-103,goan1235,ncases,NA,ncases-na,,
goan1235-nclass-103,goan1235,nclass,NA,nclass-na,,
goan1235-nnumber-103,goan1235,nnumber,NA,nnumber-na,,
goan1235-int-103,goan1235,int,yes,int-yes,,
goan1235-origin-103,goan1235,origin,KW,origin-kw,,
goan1235-comp-103,goan1235,comp,no,comp-no,,
goan1235-genre-103,goan1235,genre,spoken,genre-spoken,,
aves1237-ncases-104,aves1237,ncases,7,ncases-7,,
aves1237-nclass-104,aves1237,nclass,3,nclass-3,,
aves1237-nnumber-104,aves1237,nnumber,2,nnumber-2,,
aves1237-int-104,aves1237,int,no,int-no,,
aves1237-origin-104,aves1237,origin,YO,origin-yo,,
aves1237-comp-104,aves1237,comp,no,comp-no,,
aves1237-genre-104,aves1237,genre,written,genre-written,,
wakh1245-ncases-105,wakh1245,ncases,0,ncases-0,,
wakh1245-nclass-105,wakh1245,nclass,0,nclass-0,,
wakh1245-nnumber-105,wakh1245,nnumber,0,nnumber-0,,
wakh1245-int-105,wakh1245,int,related,int-related,,
wakh1245-origin-105,wakh1245,origin,NA,origin-na,,
wakh1245-comp-105,wakh1245,comp,yes,comp-yes,,
wakh1245-genre-105,wakh1245,genre,spoken,genre-spoken,,
wakh1245-ncases-106,wakh1245,ncases,0,ncases-0,,
wakh1245-nclass-106,wakh1245,nclass,0,nclass-0,,
wakh1245-nnumber-106,wakh1245,nnumber,0,nnumber-0,,
wakh1245-int-106,wakh1245,int,related,int-related,,
wakh1245-origin-106,wakh1245,origin,L,origin-l,,
wakh1245-comp-106,wakh1245,comp,yes,comp-yes,,
wakh1245-genre-106,wakh1245,genre,spoken,genre-spoken,,
part1239-ncases-107,part1239,ncases,0,ncases-0,,
part1239-nclass-107,part1239,nclass,0,nclass-0,,
part1239-nnumber-107,part1239,nnumber,0,nnumber-0,,
part1239-int-107,part1239,int,yes,int-yes,,
part1239-origin-107,part1239,origin,KW,origin-kw,,
part1239-comp-107,part1239,comp,no,comp-no,,
part1239-genre-107,part1239,genre,written,genre-written,,
khwa1238-ncases-108,khwa1238,ncases,0,ncases-0,,
khwa1238-nclass-108,khwa1238,nclass,2,nclass-2,,
khwa1238-nnumber-108,khwa1238,nnumber,0,nnumber-0,,
khwa1238-int-108,khwa1238,int,yes,int-yes,,
khwa1238-origin-108,khwa1238,origin,KW,origin-kw,,
khwa1238-comp-108,khwa1238,comp,no,comp-no,,
khwa1238-genre-108,khwa1238,genre,written,genre-written,,
sogd1245-ncases-109,sogd1245,ncases,3,ncases-3,,
sogd1245-nclass-109,sogd1245,nclass,2,nclass-2,,
sogd1245-nnumber-109,sogd1245,nnumber,0,nnumber-0,,
sogd1245-int-109,sogd1245,int,yes,int-yes,,
sogd1245-origin-109,sogd1245,origin,KW,origin-kw,,
sogd1245-comp-109,sogd1245,comp,no,comp-no,,
sogd1245-genre-109,sogd1245,genre,written,genre-written,,
sogd1245-ncases-110,sogd1245,ncases,0,ncases-0,,
sogd1245-nclass-110,sogd1245,nclass,0,nclass-0,,
sogd1245-nnumber-110,sogd1245,nnumber,0,nnumber-0,,
sogd1245-int-110,sogd1245,int,yes,int-yes,,
sogd1245-origin-110,sogd1245,origin,KW,origin-kw,,
sogd1245-comp-110,sogd1245,comp,no,comp-no,,
sogd1245-genre-110,sogd1245,genre,written,genre-written,,
nort2641-ncases-111,nort2641,ncases,0,ncases-0,,
nort2641-nclass-111,nort2641,nclass,0,nclass-0,,
nort2641-nnumber-111,nort2641,nnumber,0,nnumber-0,,
nort2641-int-111,nort2641,int,yes,int-yes,,
nort2641-origin-111,nort2641,origin,KW,origin-kw,,
nort2641-comp-111,nort2641,comp,yes,comp-yes,,
nort2641-genre-111,nort2641,genre,spoken,genre-spoken,,
diml1238-ncases-112,diml1238,ncases,2,ncases-2,,
diml1238-nclass-112,diml1238,nclass,0,nclass-0,,
diml1238-nnumber-112,diml1238,nnumber,0,nnumber-0,,
diml1238-int-112,diml1238,int,related,int-related,,
diml1238-origin-112,diml1238,origin,KW,origin-kw,,
diml1238-comp-112,diml1238,comp,yes,comp-yes,,
diml1238-genre-112,diml1238,genre,spoken,genre-spoken,,
gila1241-ncases-113,gila1241,ncases,2,ncases-2,,
gila1241-nclass-113,gila1241,nclass,2,nclass-2,,
gila1241-nnumber-113,gila1241,nnumber,0,nnumber-0,,
gila1241-int-113,gila1241,int,yes,int-yes,,
gila1241-origin-113,gila1241,origin,KW,origin-kw,,
gila1241-comp-113,gila1241,comp,yes,comp-yes,,
gila1241-genre-113,gila1241,genre,spoken,genre-spoken,,
osse1243-ncases-114,osse1243,ncases,8,ncases-8,,
osse1243-nclass-114,osse1243,nclass,2,nclass-2,,
osse1243-nnumber-114,osse1243,nnumber,2,nnumber-2,,
osse1243-int-114,osse1243,int,yes,int-yes,,
osse1243-origin-114,osse1243,origin,KW,origin-kw,,
osse1243-comp-114,osse1243,comp,no,comp-no,,
osse1243-genre-114,osse1243,genre,spoken,genre-spoken,,
balo1260-ncases-115,balo1260,ncases,0,ncases-0,,
balo1260-nclass-115,balo1260,nclass,0,nclass-0,,
balo1260-nnumber-115,balo1260,nnumber,0,nnumber-0,,
balo1260-int-115,balo1260,int,relatedmaybe,int-relatedmaybe,,
balo1260-origin-115,balo1260,origin,KW,origin-kw,,
balo1260-comp-115,balo1260,comp,yes,comp-yes,,
balo1260-genre-115,balo1260,genre,spoken,genre-spoken,,
taly1247-ncases-116,taly1247,ncases,0,ncases-0,,
taly1247-nclass-116,taly1247,nclass,0,nclass-0,,
taly1247-nnumber-116,taly1247,nnumber,0,nnumber-0,,
taly1247-int-116,taly1247,int,yes,int-yes,,
taly1247-origin-116,taly1247,origin,KW,origin-kw,,
taly1247-comp-116,taly1247,comp,yes,comp-yes,,
taly1247-genre-116,taly1247,genre,spoken,genre-spoken,,
para1299-ncases-117,para1299,ncases,0,ncases-0,,
para1299-nclass-117,para1299,nclass,0,nclass-0,,
para1299-nnumber-117,para1299,nnumber,0,nnumber-0,,
para1299-int-117,para1299,int,yes,int-yes,,
para1299-origin-117,para1299,origin,KW,origin-kw,,
para1299-comp-117,para1299,comp,yes,comp-yes,,
para1299-genre-117,para1299,genre,spoken,genre-spoken,,
nucl1276-ncases-118,nucl1276,ncases,0,ncases-0,,
nucl1276-nclass-118,nucl1276,nclass,0,nclass-0,,
nucl1276-nnumber-118,nucl1276,nnumber,0,nnumber-0,,
nucl1276-int-118,nucl1276,int,related,int-related,,
nucl1276-origin-118,nucl1276,origin,KW,origin-kw,,
nucl1276-comp-118,nucl1276,comp,yes,comp-yes,,
nucl1276-genre-118,nucl1276,genre,spoken,genre-spoken,,
khot1251-ncases-119,khot1251,ncases,2,ncases-2,,
khot1251-nclass-119,khot1251,nclass,2,nclass-2,,
khot1251-nnumber-119,khot1251,nnumber,0,nnumber-0,,
khot1251-int-119,khot1251,int,yes,int-yes,,
khot1251-origin-119,khot1251,origin,KW,origin-kw,,
khot1251-comp-119,khot1251,comp,NA,comp-na,,
khot1251-genre-119,khot1251,genre,written,genre-written,,
oldp1254-ncases-120,oldp1254,ncases,4,ncases-4,,
oldp1254-nclass-120,oldp1254,nclass,3,nclass-3,,
oldp1254-nnumber-120,oldp1254,nnumber,2,nnumber-2,,
oldp1254-int-120,oldp1254,int,no,int-no,,
oldp1254-origin-120,oldp1254,origin,TO+YO,origin-toyo,,
oldp1254-comp-120,oldp1254,comp,yes,comp-yes,,
oldp1254-genre-120,oldp1254,genre,written,genre-written,,
pahl1241-ncases-121,pahl1241,ncases,0,ncases-0,,
pahl1241-nclass-121,pahl1241,nclass,2,nclass-2,,
pahl1241-nnumber-121,pahl1241,nnumber,0,nnumber-0,,
pahl1241-int-121,pahl1241,int,yes,int-yes,,
pahl1241-origin-121,pahl1241,origin,KW,origin-kw,,
pahl1241-comp-121,pahl1241,comp,no,comp-no,,
pahl1241-genre-121,pahl1241,genre,written,genre-written,,
west2369-ncases-122,west2369,ncases,0,ncases-0,,
west2369-nclass-122,west2369,nclass,0,nclass-0,,
west2369-nnumber-122,west2369,nnumber,0,nnumber-0,,
west2369-int-122,west2369,int,yes,int-yes,,
west2369-origin-122,west2369,origin,KW,origin-kw,,
west2369-comp-122,west2369,comp,yes,comp-yes,,
west2369-genre-122,west2369,genre,spoken,genre-spoken,,
taji1245-ncases-123,taji1245,ncases,0,ncases-0,,
taji1245-nclass-123,taji1245,nclass,0,nclass-0,,
taji1245-nnumber-123,taji1245,nnumber,0,nnumber-0,,
taji1245-int-123,taji1245,int,yes,int-yes,,
taji1245-origin-123,taji1245,origin,KW,origin-kw,,
taji1245-comp-123,taji1245,comp,yes,comp-yes,,
taji1245-genre-123,taji1245,genre,spoken,genre-spoken,,
sout2645-ncases-124,sout2645,ncases,0,ncases-0,,
sout2645-nclass-124,sout2645,nclass,0,nclass-0,,
sout2645-nnumber-124,sout2645,nnumber,0,nnumber-0,,
sout2645-int-124,sout2645,int,yes,int-yes,,
sout2645-origin-124,sout2645,origin,KW,origin-kw,,
sout2645-comp-124,sout2645,comp,yes,comp-yes,,
sout2645-genre-124,sout2645,genre,spoken,genre-spoken,,
jude1256-ncases-125,jude1256,ncases,0,ncases-0,,
jude1256-nclass-125,jude1256,nclass,0,nclass-0,,
jude1256-nnumber-125,jude1256,nnumber,0,nnumber-0,,
jude1256-int-125,jude1256,int,no,int-no,,
jude1256-origin-125,jude1256,origin,NA,origin-na,,
jude1256-comp-125,jude1256,comp,yes,comp-yes,,
jude1256-genre-125,jude1256,genre,written,genre-written,,
waig1243-ncases-126,waig1243,ncases,0,ncases-0,,
waig1243-nclass-126,waig1243,nclass,0,nclass-0,,
waig1243-nnumber-126,waig1243,nnumber,0,nnumber-0,,
waig1243-int-126,waig1243,int,no,int-no,,
waig1243-origin-126,waig1243,origin,NA,origin-na,,
waig1243-comp-126,waig1243,comp,no,comp-no,,
waig1243-genre-126,waig1243,genre,both,genre-both,,
umbr1253-ncases-127,umbr1253,ncases,5,ncases-5,,
umbr1253-nclass-127,umbr1253,nclass,3,nclass-3,,
umbr1253-nnumber-127,umbr1253,nnumber,2,nnumber-2,,
umbr1253-int-127,umbr1253,int,related,int-related,,
umbr1253-origin-127,umbr1253,origin,KW,origin-kw,,
umbr1253-comp-127,umbr1253,comp,NA,comp-na,,
umbr1253-genre-127,umbr1253,genre,written,genre-written,,
osca1245-ncases-128,osca1245,ncases,5,ncases-5,,
osca1245-nclass-128,osca1245,nclass,3,nclass-3,,
osca1245-nnumber-128,osca1245,nnumber,2,nnumber-2,,
osca1245-int-128,osca1245,int,related,int-related,,
osca1245-origin-128,osca1245,origin,KW,origin-kw,,
osca1245-comp-128,osca1245,comp,NA,comp-na,,
osca1245-genre-128,osca1245,genre,written,genre-written,,
lati1261-ncases-129,lati1261,ncases,5,ncases-5,,
lati1261-nclass-129,lati1261,nclass,3,nclass-3,,
lati1261-nnumber-129,lati1261,nnumber,2,nnumber-2,,
lati1261-int-129,lati1261,int,related,int-related,,
lati1261-origin-129,lati1261,origin,KW,origin-kw,,
lati1261-comp-129,lati1261,comp,no,comp-no,,
lati1261-genre-129,lati1261,genre,written,genre-written,,
oldp1253-ncases-130,oldp1253,ncases,2,ncases-2,,
oldp1253-nclass-130,oldp1253,nclass,2,nclass-2,,
oldp1253-nnumber-130,oldp1253,nnumber,0,nnumber-0,,
oldp1253-int-130,oldp1253,int,yes,int-yes,,
oldp1253-origin-130,oldp1253,origin,KW,origin-kw,,
oldp1253-comp-130,oldp1253,comp,yes,comp-yes,,
oldp1253-genre-130,oldp1253,genre,written,genre-written,,
olds1249-ncases-131,olds1249,ncases,0,ncases-0,,
olds1249-nclass-131,olds1249,nclass,2,nclass-2,,
olds1249-nnumber-131,olds1249,nnumber,0,nnumber-0,,
olds1249-int-131,olds1249,int,yes,int-yes,,
olds1249-origin-131,olds1249,origin,KW,origin-kw,,
olds1249-comp-131,olds1249,comp,yes,comp-yes,,
olds1249-genre-131,olds1249,genre,written,genre-written,,
olds1249-ncases-132,olds1249,ncases,0,ncases-0,,
olds1249-nclass-132,olds1249,nclass,2,nclass-2,,
olds1249-nnumber-132,olds1249,nnumber,0,nnumber-0,,
olds1249-int-132,olds1249,int,yes,int-yes,,
olds1249-origin-132,olds1249,origin,KW,origin-kw,,
olds1249-comp-132,olds1249,comp,yes,comp-yes,,
olds1249-genre-132,olds1249,genre,written,genre-written,,
ital1282-ncases-133,ital1282,ncases,2,ncases-2,,
ital1282-nclass-133,ital1282,nclass,0,nclass-0,,
ital1282-nnumber-133,ital1282,nnumber,0,nnumber-0,,
ital1282-int-133,ital1282,int,yes,int-yes,,
ital1282-origin-133,ital1282,origin,KW,origin-kw,,
ital1282-comp-133,ital1282,comp,yes,comp-yes,,
ital1282-genre-133,ital1282,genre,spoken,genre-spoken,,
ital1282-ncases-134,ital1282,ncases,0,ncases-0,,
ital1282-nclass-134,ital1282,nclass,0,nclass-0,,
ital1282-nnumber-134,ital1282,nnumber,2,nnumber-2,,
ital1282-int-134,ital1282,int,yes,int-yes,,
ital1282-origin-134,ital1282,origin,KW,origin-kw,,
ital1282-comp-134,ital1282,comp,no,comp-no,,
ital1282-genre-134,ital1282,genre,both,genre-both,,
vene1258-ncases-135,vene1258,ncases,0,ncases-0,,
vene1258-nclass-135,vene1258,nclass,0,nclass-0,,
vene1258-nnumber-135,vene1258,nnumber,0,nnumber-0,,
vene1258-int-135,vene1258,int,yes,int-yes,,
vene1258-origin-135,vene1258,origin,KW,origin-kw,,
vene1258-comp-135,vene1258,comp,yes,comp-yes,,
vene1258-genre-135,vene1258,genre,spoken,genre-spoken,,
stan1290-ncases-136,stan1290,ncases,2,ncases-2,,
stan1290-nclass-136,stan1290,nclass,0,nclass-0,,
stan1290-nnumber-136,stan1290,nnumber,0,nnumber-0,,
stan1290-int-136,stan1290,int,yes,int-yes,,
stan1290-origin-136,stan1290,origin,KW,origin-kw,,
stan1290-comp-136,stan1290,comp,yes,comp-yes,,
stan1290-genre-136,stan1290,genre,both,genre-both,,
stan1290-ncases-137,stan1290,ncases,0,ncases-0,,
stan1290-nclass-137,stan1290,nclass,0,nclass-0,,
stan1290-nnumber-137,stan1290,nnumber,0,nnumber-0,,
stan1290-int-137,stan1290,int,no,int-no,,
stan1290-origin-137,stan1290,origin,NA,origin-na,,
stan1290-comp-137,stan1290,comp,no,comp-no,,
stan1290-genre-137,stan1290,genre,both,genre-both,,
occi1249-ncases-138,occi1249,ncases,0,ncases-0,,
